direction	source_pool	target_pool	selector_model	selector_bits	candidates_per_payload	base_library_sequences	payloads	base_payload_bits	payload_bits_after_selection	payload_bits_per_variable_nt	target_library_mean_outcome	selected_mean_outcome	paired_mean_outcome_gain	paired_gain_ci_2p5	paired_gain_ci_97p5	standardized_paired_gain	target_library_event_rate	selected_event_rate	paired_event_rate_change	event_change_ci_2p5	event_change_ci_97p5	fiber_score_variance_mean	fiber_outcome_variance_mean	negative_gain_fraction	zero_gain_fraction	positive_gain_fraction	score_decimal_places	fibers	choices_changed_by_quantization	quantized_extremum_tie_fibers	minimum_raw_top_gap	median_raw_top_gap	roundtrip_payloads	roundtrip_failures	independent_unit	evidence_boundary
GCall_to_GCfix	GCall	GCfix	P2_assay_context	3	8	2048	256	11	8	0.07407407407407407	0.9998415401124303	1.001704874630928	0.0018633345184978912	0.001239683587780232	0.002499791307997727	0.19851106219595308	0.0205078125	0.00390625	-0.0166015625	-0.025390625	-0.00537109375	3.0682793579222447e-06	7.525244653377619e-05	0.3125	0.0	0.6875	12	256	0	0	6.5157932129800145e-06	0.0006582711465319413	256	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P5_combined_context	3	8	2048	256	11	8	0.07407407407407407	0.9998415401124303	1.0026071204797624	0.00276558036733205	0.0022325049926076312	0.003331406915937942	0.2946321719783997	0.0205078125	0.0	-0.0205078125	-0.02685546875	-0.0146484375	6.041702482063149e-06	7.525244653377619e-05	0.21875	0.0	0.78125	12	256	0	0	6.667274059513062e-07	0.0008650375049248371	256	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P0_composition	4	16	2048	128	11	7	0.06481481481481481	0.9998415401124303	1.000257896119686	0.00041635600725564107	-0.0009640995531983572	0.0016101049989027554	0.04435664795101406	0.0205078125	0.0234375	0.0029296875	-0.01953125	0.03126220703124993	1.3187001358682342e-07	8.04659697244382e-05	0.4296875	0.0	0.5703125	12	128	0	4	0.0	0.00012759395999895062	128	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P2_assay_context	4	16	2048	128	11	7	0.06481481481481481	0.9998415401124303	1.0015462430779398	0.0017047029655097405	0.0006754043288394652	0.002597091572453108	0.18161118846482247	0.0205078125	0.0078125	-0.0126953125	-0.02540283203125	0.00537109375	3.2686710919301137e-06	8.04659697244382e-05	0.265625	0.0	0.734375	12	128	0	0	9.839238020337149e-06	0.00044991547063200077	128	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCall_to_GCfix	GCall	GCfix	P5_combined_context	4	16	2048	128	11	7	0.06481481481481481	0.9998415401124303	1.003031210704867	0.003189670592436909	0.0025525755796258426	0.003851612187506525	0.339812787813474	0.0205078125	0.0	-0.0205078125	-0.02685546875	-0.0146484375	6.414095075801478e-06	8.04659697244382e-05	0.1796875	0.0	0.8203125	12	128	0	0	8.688572963322372e-07	0.0007582338008675915	128	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P0_composition	0	1	2048	2048	11	11	0.10185185185185185	1.0000216169631462	1.0000216169631462	0.0	0.0	0.0	0.0	0.0224609375	0.0224609375	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12	2048	0	0	inf	inf	2048	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P2_assay_context	0	1	2048	2048	11	11	0.10185185185185185	1.0000216169631462	1.0000216169631462	0.0	0.0	0.0	0.0	0.0224609375	0.0224609375	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12	2048	0	0	inf	inf	2048	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P5_combined_context	0	1	2048	2048	11	11	0.10185185185185185	1.0000216169631462	1.0000216169631462	0.0	0.0	0.0	0.0	0.0224609375	0.0224609375	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12	2048	0	0	inf	inf	2048	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P0_composition	1	2	2048	1024	11	10	0.09259259259259259	1.0000216169631462	1.0001169845851705	9.536762202441696e-05	-0.00022420544570332486	0.00042488026087218435	0.012255752662053025	0.0224609375	0.01953125	-0.0029296875	-0.00927734375	0.0029296875	1.1459547651021335e-07	2.9634779664233536e-05	0.474609375	0.0	0.525390625	12	1024	1	2	0.0	0.0004693949363023253	1024	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
GCfix_to_GCall	GCfix	GCall	P2_assay_context	1	2	2048	1024	11	10	0.09259259259259259	1.0000216169631462	1.001107500614041	0.001085883650895275	0.000763914692047677	0.0014014518324744283	0.13954758609512458	0.0224609375	0.0087890625	-0.013671875	-0.02001953125	-0.00732421875	2.6937264902071765e-06	2.9634779664233536e-05	0.4140625	0.0	0.5859375	12	1024	0	0	7.562937359706368e-06	0.0020755758613889563	1024	0	one deterministic candidate fiber	retrospective held-out public sequence library; not prospective emitted-sequence validation
