source_pool	source_reference	source_sequences	generated_sequences	feature	source_min	source_mean	source_sd_population	source_q01	source_q05	source_median	source_q95	source_q99	source_max	generated_min	generated_mean	generated_sd_population	generated_q01	generated_q05	generated_median	generated_q95	generated_q99	generated_max	generated_within_source_minmax_fraction	generated_within_source_q01_q99_fraction	generated_minus_source_standardized_mean_difference	two_sample_ks_statistic	two_sample_ks_p_value_descriptive_only	wasserstein_distance_source_units	p5_standardized_coefficient	p5_active_feature
GCall	full_training_pool	11998	64646	base_freq_A	0.111111111111	0.24979163193865575	0.041530311811765606	0.157407407407	0.185185185185	0.25	0.314814814815	0.351851851852	0.444444444444	0.1111111111111111	0.24976825354265567	0.034734349385488375	0.16666666666666666	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.3888888888888889	1.0	0.9971846672647959	-0.0006106662018663453	0.12220635757869017	3.581725875491524e-132	0.005498471090610475	-0.00022144082664296097	True
GCall	full_training_pool	11998	64646	base_freq_C	0.0925925925926	0.2495469923999658	0.04188209065786929	0.157407407407	0.185185185185	0.25	0.314814814815	0.351851851852	0.416666666667	0.1111111111111111	0.25006946664512486	0.03465885639532289	0.17592592592592593	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.4074074074074074	1.0	0.9967051325681403	0.013591761013258378	0.12618423750429952	6.42066810514805e-141	0.005879403770878403	0.0004291487912338504	True
GCall	full_training_pool	11998	64646	base_freq_G	0.111111111111	0.2504977681465418	0.04165455944971098	0.157407407407	0.185185185185	0.25	0.324074074074	0.351851851852	0.444444444444	0.1111111111111111	0.2501211727459291	0.03468745819901247	0.16666666666666666	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.3888888888888889	1.0	0.9970609163753364	-0.009825175355360457	0.1174413217411886	4.547698575973448e-122	0.005459279379013797	0.00021297516257181903	True
GCall	full_training_pool	11998	64646	base_freq_T	0.0833333333333	0.25016360751483074	0.04176334310805574	0.157407407407	0.185185185185	0.25	0.324074074074	0.351851851852	0.435185185185	0.1111111111111111	0.2500411070662904	0.03475527072398015	0.16666666666666666	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.39814814814814814	1.0	0.9966432571234106	-0.0031885022458274155	0.12332203404235553	1.3477598787600392e-134	0.005675121053031508	-0.0004225841845502804	True
GCall	full_training_pool	11998	64646	full_amplicon_candidate_pairs	70.0	108.2975495915986	15.390038592473132	80.0	86.0	107.0	136.0	153.0	229.0	68.0	109.24258268106303	15.357701099196037	81.0	88.0	107.0	137.0	153.0	259.0	0.9999226556940878	0.9844383256504656	0.06147005121681107	0.029021587129705262	7.725036806042125e-08	0.9501084798048485	0.012823497271377845	True
GCall	full_training_pool	11998	64646	full_amplicon_longest_stem	13.0	13.346641106851141	0.6820465533725218	13.0	13.0	13.0	15.0	16.0	21.0	13.0	13.327197351730966	0.65935894988722	13.0	13.0	13.0	15.0	16.0	22.0	0.9999845311388176	0.9965349750951334	-0.028985977214952285	0.010596407138714237	0.20441152052617506	0.0196053697798646	0.008503207188755682	True
GCall	full_training_pool	11998	64646	full_amplicon_weighted_pairs	445.0	634.3120520086682	97.71763366503924	488.0	516.0	616.0	818.0	961.0	1904.0	437.0	637.3452495127309	96.05575544866794	493.0	521.0	619.0	815.0	954.5500000000029	2205.0	0.9999226556940878	0.9840516041209046	0.03130549526126587	0.02293799783902148	4.666714741047926e-05	3.559895564584214	-0.019399596972747336	True
GCall	full_training_pool	11998	64646	gc_deviation_from_0p5	0.0	0.03859285189506852	0.02884333111761361	0.0	0.0	0.037037037037	0.0925925925926	0.12037037037	0.194444444444	0.0	0.022658873798155434	0.014444466819215105	0.0	0.0	0.018518518518518545	0.04629629629629628	0.04629629629629628	0.04629629629629628	1.0	1.0	-0.6985562761054565	0.3903150525087514	0.0	0.015933978096914343	-2.062772026790539e-05	True
GCall	full_training_pool	11998	64646	left_boundary_vs_left_adapter_complement_4mers	0.0	1.4187364560760127	1.4806150885908655	0.0	0.0	1.0	4.0	6.0	12.0	0.0	1.4662778826222813	1.497494456748471	0.0	0.0	1.0	4.0	6.0	16.0	0.9999845311388176	0.9928069795501655	0.03192673891138829	0.01702344692053548	0.005605774579445995	0.04885328602318295	-0.0006477006012111923	True
GCall	full_training_pool	11998	64646	left_boundary_vs_left_adapter_max_rc_tract	2.0	3.9460743457242873	0.9272643339403283	2.0	3.0	4.0	6.0	7.0	10.0	2.0	3.974136064102961	0.919532293584134	3.0	3.0	4.0	6.0	7.0	15.0	0.9999535934164527	0.9969216966246945	0.03038934771782704	0.01702344692053548	0.005605774579445995	0.03143350207327853	-0.0007691293132080693	True
