selector_source_pool	cross_evaluator_pool	selector_bits	mapping_namespaces	payloads_per_namespace	own_gain_minimum	own_gain_median	own_gain_maximum	own_gain_positive_namespace_fraction	cross_gain_minimum	cross_gain_median	cross_gain_maximum	cross_gain_positive_namespace_fraction	own_negative_fiber_fraction_minimum	own_negative_fiber_fraction_median	own_negative_fiber_fraction_maximum	cross_negative_fiber_fraction_minimum	cross_negative_fiber_fraction_median	cross_negative_fiber_fraction_maximum	own_fiber_score_variance_mean_minimum	own_fiber_score_variance_mean_median	own_fiber_score_variance_mean_maximum	cross_fiber_score_variance_mean_minimum	cross_fiber_score_variance_mean_median	cross_fiber_score_variance_mean_maximum	choices_changed_by_quantization_total	quantized_extremum_tie_fibers_total	minimum_raw_top_gap_over_namespaces	roundtrip_failures_total	interpretation
GCall	GCfix	2	8	128	0.002218343131654061	0.0023077513390201768	0.0025574335939012854	1.0	0.002257591555939965	0.002411400268202403	0.002690530460473542	1.0	0.0	0.0	0.0	0.0	0.00390625	0.0234375	4.0533759232710175e-06	4.549201325515778e-06	6.2712445965406245e-06	4.6381001033543424e-06	5.338803763443562e-06	6.876410120353502e-06	0	0	2.1410075679018092e-06	0	algorithmic mapping sensitivity only; not a confidence interval or biological replication
GCall	GCfix	4	8	128	0.003661333997809657	0.003730528561577728	0.003863561520468687	1.0	0.0037359545740562484	0.003877876214896296	0.0040449095281220515	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.54812818664483e-06	6.687050204688755e-06	7.0971672508175215e-06	6.290450223954395e-06	7.518308630853356e-06	7.85571682179633e-06	0	0	3.092936111670497e-07	0	algorithmic mapping sensitivity only; not a confidence interval or biological replication
GCfix	GCall	2	8	128	0.0023511428085922093	0.0024812785913579357	0.0027740494150700085	1.0	0.002111328158820422	0.002212337757482552	0.0024641897710108085	1.0	0.0	0.0	0.0	0.0	0.01171875	0.0234375	4.6381001033543424e-06	5.338803763443562e-06	6.876410120353502e-06	4.0533759232710175e-06	4.549201325515778e-06	6.2712445965406245e-06	0	0	1.0133658256972211e-06	0	algorithmic mapping sensitivity only; not a confidence interval or biological replication
GCfix	GCall	4	8	128	0.00390987869537617	0.0040200612453757745	0.004177316018466282	1.0	0.003473910001782563	0.003601998941709567	0.0037221777309691274	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.290450223954395e-06	7.518308630853356e-06	7.85571682179633e-06	5.54812818664483e-06	6.687050204688755e-06	7.0971672508175215e-06	0	0	8.182516584298583e-07	0	algorithmic mapping sensitivity only; not a confidence interval or biological replication
