source_model	selector_bits	mappings	mapping_role	fullcontext_gain_min	fullcontext_gain_median	fullcontext_gain_max	fullcontext_gain_positive_mappings	fullcontext_minus_assaycontext_min	fullcontext_minus_assaycontext_median	fullcontext_minus_assaycontext_max	fullcontext_minus_assaycontext_positive_mappings	fullcontext_minus_released_cnn_min	fullcontext_minus_released_cnn_median	fullcontext_minus_released_cnn_max	fullcontext_minus_released_cnn_positive_mappings	fullcontext_negative_gain_fraction_min	fullcontext_negative_gain_fraction_median	fullcontext_negative_gain_fraction_max	fullcontext_positive_gain_fraction_min	fullcontext_positive_gain_fraction_median	fullcontext_positive_gain_fraction_max	fullcontext_fiber_score_variance_mean_min	fullcontext_fiber_score_variance_mean_median	fullcontext_fiber_score_variance_mean_max	fullcontext_fiber_outcome_variance_mean_min	fullcontext_fiber_outcome_variance_mean_median	fullcontext_fiber_outcome_variance_mean_max	fullcontext_minimum_raw_top_gap_min	fullcontext_minimum_raw_top_gap_median	fullcontext_minimum_raw_top_gap_max	fullcontext_choices_changed_by_quantization_total	fullcontext_quantized_extremum_tie_fibers_total
GCall	2	32	post_hoc_exploratory_algorithmic_sensitivity_not_replicates	0.0024406340937722986	0.002655188877263334	0.0029875172711032252	32	0.00047662249260158984	0.0008010637170075943	0.0013405962285212162	32	0.0007610578239401952	0.0011361591900107251	0.0015664124662964547	32	0.25390625	0.2958984375	0.326171875	0.673828125	0.7041015625	0.74609375	4.6513142969985816e-06	4.815244193186763e-06	5.041894464888687e-06	8.031343142850207e-05	8.285148977367954e-05	8.496272434809938e-05	6.258124018998501e-09	2.961412865043478e-06	1.6744456500017435e-05	0	0
GCall	4	32	post_hoc_exploratory_algorithmic_sensitivity_not_replicates	0.002854218387296853	0.0037846138557212083	0.00440119985080969	32	0.0001931372569578052	0.0013269543262920467	0.0021279311050507897	32	0.0009749467642856139	0.00205135229046941	0.0031368241630704598	32	0.1328125	0.1796875	0.2578125	0.7421875	0.8203125	0.8671875	5.9081048910519946e-06	6.015957180595669e-06	6.104121057349142e-06	0.00010098499916467798	0.00010331926603600588	0.00010517284371058324	8.600101009115235e-08	6.388695390047161e-06	2.0404187299982723e-05	0	0
GCfix	2	32	post_hoc_exploratory_algorithmic_sensitivity_not_replicates	0.002332048078599559	0.002533881367513916	0.0029097890974203794	32	0.0004530099309760353	0.0008082051607550807	0.0013872336502618568	32	0.0006798305235327996	0.001043493544918235	0.0015197538756559102	32	0.263671875	0.3046875	0.337890625	0.662109375	0.6953125	0.736328125	5.211354562537531e-06	5.387076412789746e-06	5.558512237272964e-06	8.031343142850207e-05	8.285148977367954e-05	8.496272434809938e-05	2.0569759007216248e-07	2.0078880649809783e-06	1.3683318349944074e-05	0	0
GCfix	4	32	post_hoc_exploratory_algorithmic_sensitivity_not_replicates	0.002958668361765787	0.003533414452278553	0.004123923007626789	32	0.0007402665127405009	0.0014250269210605094	0.002169943006915722	32	0.0009701479607131811	0.0019214782002537323	0.003703128474507187	32	0.171875	0.2109375	0.2890625	0.7109375	0.7890625	0.828125	6.5690376083246315e-06	6.720028502415399e-06	6.824394132381362e-06	0.00010098499916467798	0.00010331926603600588	0.00010517284371058324	6.65621030071506e-07	5.027460445061749e-06	2.486126888978646e-05	0	0
