mapping_index	namespace_sha256	membership_sha256	ordered_library_sha256	source_model	selector_bits	library_sequences	eligible_sequences	fibers	fullcontext_gain	assaycontext_gain	released_cnn_gain	fullcontext_minus_assaycontext	fullcontext_minus_released_cnn	fullcontext_negative_gain_fraction	fullcontext_zero_gain_fraction	fullcontext_positive_gain_fraction	fullcontext_fiber_score_variance_mean	fullcontext_fiber_outcome_variance_mean	fullcontext_choices_changed_by_quantization	fullcontext_quantized_extremum_tie_fibers	fullcontext_minimum_raw_top_gap	mapping_role
2	7691d81db91a5d7dfa39804911a7eee9c464633a673cb3a6cf623ebb3a16e249	13f1b8afa6438a94f2d3dfdb04743cd387d3a69098ce76e2c5ac4ab11b553425	2c9156b0ce3ea369c1da17628c1df9898445aa63188627daec5d97e2c546cefa	GCfix	2	2048	2053	512	0.0024823626639984444	0.001733281566604499	0.001426994581373321	0.0007490810973939455	0.0010553680826251234	0.28125	0.0	0.71875	5.417807907089019e-06	8.191389670838482e-05	0	0	3.9392670800886265e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
2	7691d81db91a5d7dfa39804911a7eee9c464633a673cb3a6cf623ebb3a16e249	13f1b8afa6438a94f2d3dfdb04743cd387d3a69098ce76e2c5ac4ab11b553425	2c9156b0ce3ea369c1da17628c1df9898445aa63188627daec5d97e2c546cefa	GCfix	4	2048	2053	128	0.0036198996475898674	0.0020681561472975585	0.0010761909105289217	0.0015517435002923088	0.0025437087370609457	0.1796875	0.0	0.8203125	6.8101439669080725e-06	0.00010336991562009929	0	0	4.8121008600077175e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
3	9a9a51be5c934e710050199176c4eec77adc49b2857a8724cadfab69f52c91da	0a86038669f135ec2c2043ff727a991a7598e245e62e3a3d19e6b50ec436834d	c0778028a33c67967118e85dc6b1d04841c15b3d284a69c32007f493a924769d	GCall	2	2048	2053	512	0.0024711072809388214	0.0017505130037410693	0.0016251298310424643	0.0007205942771977521	0.0008459774498963571	0.298828125	0.0	0.701171875	4.894910288808932e-06	8.39933431345192e-05	0	0	5.103209249845975e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
3	9a9a51be5c934e710050199176c4eec77adc49b2857a8724cadfab69f52c91da	0a86038669f135ec2c2043ff727a991a7598e245e62e3a3d19e6b50ec436834d	c0778028a33c67967118e85dc6b1d04841c15b3d284a69c32007f493a924769d	GCall	4	2048	2053	128	0.003625890601534295	0.002511688262139815	0.0011873219891261845	0.0011142023393944803	0.0024385686124081107	0.1640625	0.0	0.8359375	6.044628952783216e-06	0.00010306975617911569	0	0	3.8113284599461394e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
3	9a9a51be5c934e710050199176c4eec77adc49b2857a8724cadfab69f52c91da	0a86038669f135ec2c2043ff727a991a7598e245e62e3a3d19e6b50ec436834d	c0778028a33c67967118e85dc6b1d04841c15b3d284a69c32007f493a924769d	GCfix	2	2048	2053	512	0.0025831005836026394	0.0016637427732394488	0.0017596488375446312	0.0009193578103631906	0.0008234517460580081	0.29296875	0.0	0.70703125	5.514527752043412e-06	8.39933431345192e-05	0	0	2.1420034310715153e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
3	9a9a51be5c934e710050199176c4eec77adc49b2857a8724cadfab69f52c91da	0a86038669f135ec2c2043ff727a991a7598e245e62e3a3d19e6b50ec436834d	c0778028a33c67967118e85dc6b1d04841c15b3d284a69c32007f493a924769d	GCfix	4	2048	2053	128	0.0036877523086300094	0.0019646345820234414	0.0009885032315793442	0.001723117726606568	0.0026992490770506652	0.1875	0.0	0.8125	6.7772971068529924e-06	0.00010306975617911569	0	0	4.138934279973583e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
4	4b3cc769ebba147e459fdad54ac1019b5a1a0992ce53b435d6b934240aca81de	6d13e0a8cafe47aacf9aefb4e6f7dd440f41af6acd180494af68f1f3cc88eaf1	4eace3311cd86dd2f066e6aad5d2d5e4031fe4c945692abdb2a6166ed720f30f	GCall	2	2048	2053	512	0.0028465802569788015	0.001991277646461336	0.0013507746128108684	0.0008553026105174656	0.0014958056441679332	0.287109375	0.0	0.712890625	4.773551247062064e-06	8.331125191710559e-05	0	0	6.194406140025421e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
4	4b3cc769ebba147e459fdad54ac1019b5a1a0992ce53b435d6b934240aca81de	6d13e0a8cafe47aacf9aefb4e6f7dd440f41af6acd180494af68f1f3cc88eaf1	4eace3311cd86dd2f066e6aad5d2d5e4031fe4c945692abdb2a6166ed720f30f	GCall	4	2048	2053	128	0.0035116673246823656	0.002527676307358886	0.0022611714555027572	0.0009839910173234795	0.0012504958691796084	0.1875	0.0	0.8125	5.989245100148119e-06	0.00010517284371058324	0	0	1.498652283005164e-05	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
4	4b3cc769ebba147e459fdad54ac1019b5a1a0992ce53b435d6b934240aca81de	6d13e0a8cafe47aacf9aefb4e6f7dd440f41af6acd180494af68f1f3cc88eaf1	4eace3311cd86dd2f066e6aad5d2d5e4031fe4c945692abdb2a6166ed720f30f	GCfix	2	2048	2053	512	0.0025339135455193767	0.0017846581850420936	0.0015469279666822926	0.0007492553604772829	0.0009869855788370839	0.306640625	0.0	0.693359375	5.337299597783111e-06	8.331125191710559e-05	0	0	9.798183200349087e-07	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
4	4b3cc769ebba147e459fdad54ac1019b5a1a0992ce53b435d6b934240aca81de	6d13e0a8cafe47aacf9aefb4e6f7dd440f41af6acd180494af68f1f3cc88eaf1	4eace3311cd86dd2f066e6aad5d2d5e4031fe4c945692abdb2a6166ed720f30f	GCfix	4	2048	2053	128	0.0035893105642206434	0.002463075544198089	0.0017799221101289743	0.0011262350200225545	0.001809388454091669	0.21875	0.0	0.78125	6.682562778516341e-06	0.00010517284371058324	0	0	8.577164260170633e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
5	099e5f91d7e6f07371c9809b48f76ab0af0b190a2b156f8b065ea78c5fb37130	e74d89c77eb298753c60829038591e82c5575a1200841088b0387cc7c660dd2e	0499f96b26c81055a28bdf96d83a2943c16248f2c5e2937342b1009ed3f7c6f7	GCall	2	2048	2053	512	0.0029875172711032252	0.0016469210425820089	0.0018040953188550504	0.0013405962285212162	0.0011834219522481747	0.25390625	0.0	0.74609375	4.781312847814514e-06	8.195315164821324e-05	0	0	2.386668910059342e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
5	099e5f91d7e6f07371c9809b48f76ab0af0b190a2b156f8b065ea78c5fb37130	e74d89c77eb298753c60829038591e82c5575a1200841088b0387cc7c660dd2e	0499f96b26c81055a28bdf96d83a2943c16248f2c5e2937342b1009ed3f7c6f7	GCall	4	2048	2053	128	0.0037829716597137034	0.0024267302563693843	0.0021211487094565055	0.001356241403344319	0.0016618229502571979	0.1875	0.0	0.8125	5.981491068463707e-06	0.00010246935413107808	0	0	5.561930999986586e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
5	099e5f91d7e6f07371c9809b48f76ab0af0b190a2b156f8b065ea78c5fb37130	e74d89c77eb298753c60829038591e82c5575a1200841088b0387cc7c660dd2e	0499f96b26c81055a28bdf96d83a2943c16248f2c5e2937342b1009ed3f7c6f7	GCfix	2	2048	2053	512	0.002885080676002932	0.0015721309996995741	0.0017779264797636153	0.0013129496763033578	0.0011071541962393166	0.263671875	0.0	0.736328125	5.339520119707944e-06	8.195315164821324e-05	0	0	1.5587434900599106e-06	post_hoc_exploratory_algorithmic_sensitivity_not_replicates
