sample_id	sequence_sha256	eff_Taq	external_low_efficiency	GCall 2perc	GCfix 2perc	GCall__P2_assay_context	GCall__P5_combined_context	GCfix__P2_assay_context	GCfix__P5_combined_context
Seq_anonymized_003725	8125ef16b3422d7d75bd3373fdae46aaff8daca06a82cd246ae8b582b9ac14db	1.00652612290231	0	0.047990292	0.04378666	1.00085070364208	1.00331844335674	1.00077102923637	1.00320108934245
Seq_anonymized_001134	815d3a25acd3f1b890cdfc6c5a052ef1b5295446e7abcfa76aaa85350755df6b	1.00512077017744	0	0.057192676	0.03522912	1.00216467514989	1.00433882313178	1.0025268655749	1.00492468787512
Seq_anonymized_007199	817d48b58ecdec629efad210538450657ba9377a418ed9525117319ceed911f3	0.972275325606573	1	0.4191941	0.5232121	0.996608550023929	0.997453914329778	0.99503746130649	0.995899655563438
Seq_anonymized_006881	81913a6b050dd52c4434dcef6dda910be3fe22c9b77b1b64d3a33de9d3a12879	1.00449720000736	0	0.07120924	0.030403579	1.00020285167966	1.00214349531539	1.00041629124171	1.00248342153396
Seq_anonymized_004347	81a39d572a820b5b3d695337b79b120147c7cec7157800e70b12e94212e77be5	1.00032865663439	0	0.060645886	0.04236843	0.999653285925637	0.998472968368407	1.00018568463468	0.999053635077229
Seq_anonymized_005619	81a3f491527a9056da69780822f703a13bc9b824115c6a041d8896793c3c5798	1.00085931814903	0	0.092665344	0.03249311	1.0015046911404	1.00241839244277	1.00163771319253	1.00270992645878
Seq_anonymized_008307	81f4095cbcac514b470e90601429196b3ca6dfcdb6b2faa843c9a83d66206e40	0.996509939923768	0	0.07060186	0.14696018	1.00135343548019	1.00154926895011	1.00081807491603	1.00099936361998
Seq_anonymized_001948	820100610c830dabbb1dd801d830eef2034bfd26d17588093f6d5e251dd72c13	0.990257798305158	0	0.07931413	0.027852645	0.997352988894867	0.997001879549452	0.99754554354988	0.997232219585398
Seq_anonymized_008763	8207b4a7e90eb03455987b631f6ab50711435dc2afe7386b01b57d923a0ffa88	1.00374442436076	0	0.04393496	0.023349654	1.00017610042521	0.99978088317769	1.00028588457352	0.999818022283788
Seq_anonymized_002354	821a8f3869e37c48afcc0ae8380c5c1feb04630f29e54007c2218e9c9f03e9ff	1.00075434429857	0	0.04496249	0.039399553	0.999472754238325	0.999938956876503	0.999287140819831	0.999645894993336
Seq_anonymized_006976	821faecb3a7d2e39f53ac07b5739ece898db53b54a4870e119af05fda448d740	0.998822174377785	0	0.036585104	0.030668676	1.00309609390802	0.998821776242047	1.0041245911844	0.999856443831456
Seq_anonymized_003827	8241906031b1e0a461820d53b0c964ec0adfb5c72fc15466a2c0414b298090b0	1.00537137031888	0	0.112198636	0.082175076	0.998194320559699	0.994227346715904	0.997906707386521	0.994396507900043
Seq_anonymized_006212	824562d3918c6cb4715111fef70c8fd6657117d1f8aaa1122f65879956b619dd	0.999129928683119	0	0.37769774	0.16794397	0.999879131483315	0.996280255042779	0.999670060834968	0.99619979442086
Seq_anonymized_007811	8267e8d86c7bf27e200422343a0f1298808cfed225d8f84907f6b7ca384cdacb	1.00526436456833	0	0.20739508	0.034572273	0.999482449423812	0.997989159554167	0.999726410754718	0.998189260286774
Seq_anonymized_011851	8286316c14065f688539b551e031304ec670d7c3d838840f1a70f373e06fb05d	1.00025890624311	0	0.06964057	0.028835174	1.00365813816148	1.00344829655664	1.00373989415902	1.00356432975248
Seq_anonymized_003527	82bbea1b345ba93a573210e76c641f3c760018d6576aa8622488703d4d328d80	1.00421037050788	0	0.08059547	0.018896488	1.00096997377285	1.0019093800664	1.00120609556907	1.00214550855947
Seq_anonymized_004629	82e5d68d66040e40937e7455f832f9a34219a3cca29457f432457b23c0cd30ee	1.0051121751826	0	0.05972853	0.021414265	0.999653428393587	1.00015089944584	1.00083555534205	1.00157974911725
Seq_anonymized_000185	83018170c65963c7d11a7b70c19640546dba6b9517b7d02630b58be266decf98	1.00596381369239	0	0.05491917	0.07816349	1.00065140083686	1.00273306109869	1.00034991542853	1.0025268746267
Seq_anonymized_006224	831fdff7e58e508afbf2aff75dbcd656d70ed3736543bd14ec26ff3fb6299a0b	1.00032871828847	0	0.13155736	0.01872765	1.00108955582392	1.00129557539704	1.00140233957741	1.00159201435573
Seq_anonymized_006442	833a06ee4c589e9ff69e301c3a3514d392b3fc7462ec0e5e0f23ec0989e4c0fd	0.999923807462779	0	0.050692506	0.21328424	0.999417505659544	1.00038703051823	0.998553094223357	0.999538231687974
Seq_anonymized_004265	840b477e0134eb68d99a8a67e0a7a513830984239c8f672118d1481eff143184	0.99975540250782	0	0.08726069	0.0185911	0.998250838040214	0.998820382879041	0.998910731057369	0.999475715049288
Seq_anonymized_002174	842d20b7f2314da417161b837f3b295c3bafb8f086dcd883a46784bd7faa9ea8	1.00794439594179	0	0.11051891	0.02957525	1.00057270359662	1.0010150336162	1.00118225738388	1.00167913739132
Seq_anonymized_010305	8466f93efff571faf38c30916900a01dcbdeedca16d5c1804cbba246044499ad	1.00757317059204	0	0.11242089	0.030213488	1.00399968277129	1.00360256200792	1.00383270657297	1.00340612092293
Seq_anonymized_004736	84f64eb351ed6f1e2e8a275fe88273d6f1a0020819931e083ed2bce9462da676	0.999896179698683	0	0.047936335	0.08961629	1.00040945678191	1.00208595348092	0.999797286641079	1.00141278444826
Seq_anonymized_005214	8503524dfbda65d75326f9aea401fa017f581a47619d4948b5ffd0014f0210d5	1.01380491071552	0	0.16217798	0.023021465	1.00143763151525	1.00202763125207	1.00192305478118	1.00240530213909
Seq_anonymized_010742	850739da3a82956b20fd7ae4bdd3ecc8f800a3e66dbea749228a5f8d104a3437	0.996873229878307	0	0.059776124	0.04344022	0.994846079305484	0.995341089990019	0.993803943930583	0.994171780076861
Seq_anonymized_010542	852d7618217fea49f65d1062ce1426cc54f772ff86a49f01714f9d02900d49aa	1.00010008443533	0	0.055246085	0.014949432	1.00029043946177	1.00109067782688	1.00100820731698	1.00191356478532
