panel	series	category	x	y	low	high	n	unit	note
d	Cross-pool public	GCall source, r=4	3.1896705924369	2.11	2.4676832577918	3.8360136388362003	2000	relative PCR efficiency x 1e-3	point is frozen full-data FullContext estimate; interval uses 2,000 source-plus-target bootstrap replicates
d	Cross-pool public	GCfix source, r=2	2.135459124628	1.11	1.6874795629888002	2.5963270733612998	2000	relative PCR efficiency x 1e-3	point is frozen full-data FullContext estimate; interval uses 2,000 source-plus-target bootstrap replicates
d	Cross-pool public	GCfix source, r=4	2.9666622831328	0.11	2.3310077580235	3.7668417823738998	2000	relative PCR efficiency x 1e-3	point is frozen full-data FullContext estimate; interval uses 2,000 source-plus-target bootstrap replicates
d	Same-publication external lab	GCall source, r=2	2.4584360920358	2.89	1.9404695442127	3.0351398297925	2000	relative PCR efficiency x 1e-3	point is frozen full-data FullContext estimate; interval uses 2,000 source-plus-target bootstrap replicates
d	Same-publication external lab	GCall source, r=4	4.0853863860975	1.89	3.0074386437937	4.957540763161401	2000	relative PCR efficiency x 1e-3	point is frozen full-data FullContext estimate; interval uses 2,000 source-plus-target bootstrap replicates
d	Same-publication external lab	GCfix source, r=2	2.3976618425493	0.89	1.9221615270338	3.0138243025985	2000	relative PCR efficiency x 1e-3	point is frozen full-data FullContext estimate; interval uses 2,000 source-plus-target bootstrap replicates
d	Same-publication external lab	GCfix source, r=4	3.4325725731437	-0.11	2.3598781489213	4.507607222676199	2000	relative PCR efficiency x 1e-3	point is frozen full-data FullContext estimate; interval uses 2,000 source-plus-target bootstrap replicates
e	GCall selector: own model	r=0	1.9722222222222223	0.0			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: other-pool model	r=0	1.9722222222222223	0.0			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: own model	r=1	1.962962962962963	1.3426630790471001			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: other-pool model	r=1	1.962962962962963	1.3866547155933			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: own model	r=2	1.953703703703704	2.3927398409781997			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: other-pool model	r=2	1.953703703703704	2.5081016574725			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: own model	r=3	1.9444444444444444	3.0908031854649			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: other-pool model	r=3	1.9444444444444444	3.2307843666977			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: own model	r=4	1.935185185185185	3.6423481227767			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: other-pool model	r=4	1.935185185185185	3.7868929443107			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: own model	r=5	1.9259259259259256	4.2290437098115			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: other-pool model	r=5	1.9259259259259256	4.4210425516475			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: own model	r=6	1.9166666666666667	4.7201802066241			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCall selector: other-pool model	r=6	1.9166666666666667	4.8738456248777995			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: own model	r=0	1.9722222222222223	0.0			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: other-pool model	r=0	1.9722222222222223	0.0			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: own model	r=1	1.962962962962963	1.4375239747522			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: other-pool model	r=1	1.962962962962963	1.2969439738055			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: own model	r=2	1.953703703703704	2.5921261127599			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: other-pool model	r=2	1.953703703703704	2.3126274121862			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: own model	r=3	1.9444444444444444	3.355719150079			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: other-pool model	r=3	1.9444444444444444	2.9703237240257			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: own model	r=4	1.935185185185185	3.9530198806063			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: other-pool model	r=4	1.935185185185185	3.4804945778606			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: own model	r=5	1.9259259259259256	4.5845356636457			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: other-pool model	r=5	1.9259259259259256	4.0471822908323			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: own model	r=6	1.9166666666666667	5.098341234074			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
e	GCfix selector: other-pool model	r=6	1.9166666666666667	4.508116207511			512	x=exact payload bits/variable-region nt; y=model-score gain x 1e-3	generated sequences; computational prediction only
