audit_scope	sequence_length_nt	source_pool	source_sequences	external_cohort	external_sequences	all_oriented_pairs	source_within_duplicates	external_within_duplicates	exact_duplicates	exact_reverse_complements	minimum_oriented_hamming_distance_nt	maximum_oriented_identity_fraction	closest_source_sample_id	closest_external_sample_id	pairs_identity_at_least_90_percent	pairs_identity_at_least_80_percent	pairs_identity_at_least_70_percent	fixed_adapter_handling	interpretation
GCall_variable_regions_vs_external_codec_eligible_2053	108	GCall	11998	external_codec_eligible_2053	2053	24631894	0	0	0	0	55	0.49074074074074076	000411	Seq_anonymized_004480	0	0	0	excluded_shared_declared_assay_context	exhaustive identity audit over oriented 108-nt variable regions
GCall_variable_regions_vs_external_locked_codebook_2048	108	GCall	11998	external_locked_codebook_2048	2048	24571904	0	0	0	0	55	0.49074074074074076	000411	Seq_anonymized_004480	0	0	0	excluded_shared_declared_assay_context	exhaustive identity audit over oriented 108-nt variable regions
GCfix_variable_regions_vs_external_codec_eligible_2053	108	GCfix	11994	external_codec_eligible_2053	2053	24623682	0	0	0	0	56	0.48148148148148145	001119	Seq_anonymized_002050	0	0	0	excluded_shared_declared_assay_context	exhaustive identity audit over oriented 108-nt variable regions
GCfix_variable_regions_vs_external_locked_codebook_2048	108	GCfix	11994	external_locked_codebook_2048	2048	24563712	0	0	0	0	56	0.48148148148148145	001119	Seq_anonymized_002050	0	0	0	excluded_shared_declared_assay_context	exhaustive identity audit over oriented 108-nt variable regions
