dataset	analysis	pool_or_direction	endpoint	model	repeat	fold	feature	standardized_coefficient	selected_regularization
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	3	2	gc_deviation_from_0p5	-0.019774636732189783	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	3	2	max_homopolymer	0.00218151825316138	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	3	3	gc_deviation_from_0p5	-0.01943055636563533	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	3	3	max_homopolymer	0.00667926180081545	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	3	4	gc_deviation_from_0p5	-0.02218147220131323	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	3	4	max_homopolymer	0.008764562195229295	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	4	0	gc_deviation_from_0p5	-0.021758466995493705	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	4	0	max_homopolymer	0.004926011208874837	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	4	1	gc_deviation_from_0p5	-0.021218936264118006	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	4	1	max_homopolymer	0.008614407039306007	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	4	2	gc_deviation_from_0p5	-0.02285394324302949	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	4	2	max_homopolymer	0.006899932639828184	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	4	3	gc_deviation_from_0p5	-0.022646464466647736	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	4	3	max_homopolymer	0.00429283442181238	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	4	4	gc_deviation_from_0p5	-0.021433265807464293	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D0_composition	4	4	max_homopolymer	0.006354765843704921	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	0	candidate_pairs	-0.020231741054814508	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	0	gc_deviation_from_0p5	-0.01723851167478406	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	0	longest_stem	-0.000754539372138656	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	0	max_homopolymer	0.007331715367467769	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	1	candidate_pairs	-0.02906152901101852	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	1	gc_deviation_from_0p5	-0.022011536141671423	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	1	longest_stem	0.007324918958160325	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	1	max_homopolymer	0.0038203345131873913	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	2	candidate_pairs	-0.014405910040834366	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	2	gc_deviation_from_0p5	-0.017930199296322884	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	2	longest_stem	-0.004723142088517236	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	2	max_homopolymer	0.005933446931013703	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	3	candidate_pairs	-0.0196539620998477	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	3	gc_deviation_from_0p5	-0.019557205043480005	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	3	longest_stem	-0.0008378910023841277	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	0	3	max_homopolymer	0.004468277352970986	1000.0
