dataset	evaluation	pool_or_direction	endpoint	comparison	baseline_model	extended_model	retention_fraction	delta_selected_mean	delta_selected_mean_ci_2p5	delta_selected_mean_ci_97p5	delta_selected_event_rate	delta_event_rate_ci_2p5	delta_event_rate_ci_97p5	n_sequences	bootstrap_unit
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	structural_rules_vs_composition	D0_composition	D1_structural_rules	0.5	0.07957766404939015	0.03812587253467799	0.12456347691995022	-0.0075368826170622155	-0.011681995476343103	-0.003702355193526583	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Genscript_GCall	mean_log2_cpm_plus1	weighted_increment	D1_structural_rules	D2_assay_calibrated	0.5	-0.007122812281591173	-0.0148984640358935	0.0004029396288857721	0.00032071840923669076	-0.0004273502825869779	0.0011582445067043375	12472	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	calibration_vs_frozen_proxy	F0_frozen_low_proxy	D2_assay_calibrated	0.1	-0.0024018024241666634	-0.014561522394750365	0.009189540990636898	0.0	0.0	0.0	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	structural_rules_vs_composition	D0_composition	D1_structural_rules	0.1	0.01754397955583333	0.002403474971678945	0.03363375625125574	0.0	0.0	0.0	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	weighted_increment	D1_structural_rules	D2_assay_calibrated	0.1	-0.003409765274166662	-0.007024715573692934	0.00015526943705475944	0.0	0.0	0.0	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	calibration_vs_frozen_proxy	F0_frozen_low_proxy	D2_assay_calibrated	0.25	0.0002635682783333308	-0.005786108108385396	0.006782765997815131	-0.0013333333333333335	-0.0027075082051081258	-0.0003266809049586289	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	structural_rules_vs_composition	D0_composition	D1_structural_rules	0.25	0.008012057255999998	-0.0009799952556959598	0.016670303751459625	0.0	-0.0009759350703050748	0.0009950248756218905	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	weighted_increment	D1_structural_rules	D2_assay_calibrated	0.25	0.00010368973566666616	-0.0010965046706508258	0.0013236513718507487	0.0	-2.944393111459207e-06	3.090503754235306e-06	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	calibration_vs_frozen_proxy	F0_frozen_low_proxy	D2_assay_calibrated	0.5	0.0012504528809999997	-0.002118966494048862	0.0045834857251929395	-0.0005	-0.001155245359859725	0.0	12000	sequence; conditional on frozen OOF or transfer predictions
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	structural_rules_vs_composition	D0_composition	D1_structural_rules	0.5	0.0068064101104999995	0.0018481307118246298	0.012042392291424935	0.0003333333333333334	-0.0003477589452590689	0.0011509367381841115	12000	sequence; conditional on frozen OOF or transfer predictions
