dataset	analysis	pool_or_direction	endpoint	model	feature	median_standardized_coefficient	coefficient_q25	coefficient_q75	negative_fits	positive_fits	n_fits	sign_boundary
DT4DDS	selection_continuous_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	candidate_pairs	-0.011087753587896302	-0.021353002293099693	-0.010549702070081442	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	gc_deviation_from_0p5	0.0037102711868327643	0.0028798381555066614	0.004361574734024881	0	25	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	longest_stem	0.0025168288379701313	0.0015311948803704786	0.0035216978656130325	1	24	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	max_homopolymer	0.0066834597930039335	0.005891865715885436	0.007286918550520108	0	25	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	weighted_pairs	-0.007047151734069593	-0.00738378383406891	0.0011243632935693257	18	7	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D0_composition	gc_deviation_from_0p5	-0.01600144631215485	-0.01789468234121941	-0.008814023463129808	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D0_composition	max_homopolymer	-0.005611655802299695	-0.00862922429527241	-0.004146796098990095	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D1_structural_rules	candidate_pairs	-0.007872450012469974	-0.012789825831463793	-0.0064215311927932955	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D1_structural_rules	gc_deviation_from_0p5	-0.0095308195065546	-0.0157520159024621	-0.007019145932259145	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D1_structural_rules	longest_stem	-0.003333227688953421	-0.0041199303884567025	-0.0014849417495423547	23	2	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D1_structural_rules	max_homopolymer	-0.0049248388647849545	-0.008129238913867243	-0.004154233913340002	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	candidate_pairs	-0.004402573573058131	-0.005466251672807475	-0.0032494539265165447	23	2	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	gc_deviation_from_0p5	-0.009383935753690608	-0.01563341686316674	-0.0068785844440934635	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	longest_stem	-0.0016719777907365674	-0.002677221877939334	0.0005465632691701468	16	9	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	max_homopolymer	-0.004965286123279876	-0.008202021464392898	-0.004177999768576077	25	0	25	association direction within fitted model; not causal effect
DT4DDS	selection_continuous_oof	Twist_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	weighted_pairs	-0.0059570226272630125	-0.009732176175375997	-0.005007300235346978	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P0_composition	base_freq_A	-8.689544484320897e-05	-0.00010211191537663031	-7.407061136480943e-05	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P0_composition	base_freq_C	0.00042651552833253113	0.0004143155353623259	0.00044114314848465146	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P0_composition	base_freq_G	6.821411876838084e-05	6.235957059115977e-05	8.157482542594113e-05	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P0_composition	base_freq_T	-0.000397354812977883	-0.00043560305039425627	-0.0003863650018087513	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P0_composition	gc_deviation_from_0p5	7.990367827878154e-05	5.461935752151994e-05	0.00012278097276127774	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P0_composition	max_homopolymer	6.482071485853698e-05	4.5732672655625565e-05	7.791111292671478e-05	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P1_variable_structure	base_freq_A	-8.836445066771431e-05	-0.00010347931283707197	-7.505264019466028e-05	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P1_variable_structure	base_freq_C	0.0004249612878355525	0.00040899339329807897	0.00043608946374187223	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P1_variable_structure	base_freq_G	6.549347450724085e-05	6.0003806073718354e-05	7.456810299795631e-05	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P1_variable_structure	base_freq_T	-0.0004024690610140432	-0.00042887202727739124	-0.00038257368567673955	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P1_variable_structure	gc_deviation_from_0p5	4.296729082950481e-05	1.2826331351609154e-05	8.293424072455816e-05	1	24	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P1_variable_structure	max_homopolymer	7.630396557127519e-05	5.816688679896636e-05	9.075990733130906e-05	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P1_variable_structure	variable_candidate_pairs	0.00030133060856183053	0.0002777651692511661	0.0003531104844765479	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P1_variable_structure	variable_longest_stem	4.9249622647684336e-05	1.0538932971812943e-05	6.648323239151899e-05	5	20	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	base_freq_A	-0.00018099608446211582	-0.00019645177391534744	-0.00017222219516686567	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	base_freq_C	0.0003981664794607555	0.00037733725931313026	0.00041367438781420127	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	base_freq_G	0.00019119032533496368	0.0001763017800441589	0.00020200073520317327	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	base_freq_T	-0.0004118709002494584	-0.00043192865248517585	-0.0003825625632478877	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	gc_deviation_from_0p5	-2.2355263232262153e-06	-2.6749845414260795e-05	3.867343006249808e-05	13	12	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	left_boundary_vs_left_adapter_complement_4mers	-0.0006241524218786366	-0.0006717646054207588	-0.0005676518988481841	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P2_assay_context	left_boundary_vs_left_adapter_max_rc_tract	-0.0009119194073177023	-0.0009484335779835878	-0.0008593916083595305	25	0	25	association direction within fitted model; not causal effect
