dataset	direction	selector_bits	feature	negative_fibers	nonnegative_fibers	negative_fiber_selected_feature_mean	nonnegative_fiber_selected_feature_mean	standardized_mean_difference_negative_minus_nonnegative	analysis_role
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	variable_longest_stem	23	105	6.260869565217392	6.314285714285714	-0.052374176673583926	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	full_amplicon_candidate_pairs	23	105	111.8695652173913	114.74285714285715	-0.21426333363371042	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	full_amplicon_weighted_pairs	23	105	666.9565217391304	692.847619047619	-0.2949903869344417	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	full_amplicon_longest_stem	23	105	13.695652173913043	13.923809523809524	-0.3476799735178265	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	left_boundary_vs_left_adapter_max_rc_tract	23	105	3.0	3.123809523809524	-0.33326030598371487	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	left_boundary_vs_left_adapter_complement_4mers	23	105	0.043478260869565216	0.19047619047619047	-0.3056325292745603	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	left_boundary_vs_right_adapter_max_rc_tract	23	105	3.869565217391304	3.9904761904761905	-0.1560962500214171	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	left_boundary_vs_right_adapter_complement_4mers	23	105	1.5217391304347827	1.4666666666666666	0.03864630730771382	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	right_boundary_vs_left_adapter_max_rc_tract	23	105	4.217391304347826	3.9714285714285715	0.28352269151022946	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	right_boundary_vs_left_adapter_complement_4mers	23	105	1.608695652173913	1.4095238095238096	0.14588163012231548	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	right_boundary_vs_right_adapter_max_rc_tract	23	105	3.652173913043478	3.5238095238095237	0.2049895756954492	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCall_to_GCfix	4	right_boundary_vs_right_adapter_complement_4mers	23	105	0.7391304347826086	0.7428571428571429	-0.003979654557443064	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	gc_deviation_from_0p5	140	372	0.024404761904757287	0.024367781760249518	0.0026357553444777576	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	max_homopolymer	140	372	2.9857142857142858	2.9811827956989245	0.034419705675587685	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	base_freq_A	140	372	0.2560185185185286	0.25283751493430107	0.09625414169415765	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	base_freq_C	140	372	0.25357142857143566	0.254754082039043	-0.0360218544094641	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	base_freq_G	140	372	0.2396164021163929	0.24915372361609678	-0.28313196768998417	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	base_freq_T	140	372	0.25079365079367144	0.24325467941058332	0.22830429083174	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	variable_candidate_pairs	140	372	29.4	27.870967741935484	0.14978236988760826	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	variable_weighted_pairs	140	372	129.85714285714286	121.58333333333333	0.16786572910477296	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	variable_longest_stem	140	372	6.25	6.032258064516129	0.21402603012780838	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	full_amplicon_candidate_pairs	140	372	111.55	108.99462365591398	0.1724952365312181	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	full_amplicon_weighted_pairs	140	372	657.5857142857143	647.4327956989247	0.10854676595504574	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	full_amplicon_longest_stem	140	372	13.5	13.556451612903226	-0.08017896384592062	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	left_boundary_vs_left_adapter_max_rc_tract	140	372	3.4642857142857144	3.3870967741935485	0.12292954515451053	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	left_boundary_vs_left_adapter_complement_4mers	140	372	0.7285714285714285	0.510752688172043	0.2527932853709164	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	left_boundary_vs_right_adapter_max_rc_tract	140	372	3.8857142857142857	3.9086021505376345	-0.029027990219843657	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	left_boundary_vs_right_adapter_complement_4mers	140	372	1.292857142857143	1.3091397849462365	-0.012900716745250692	post hoc exploratory selected-sequence feature stratification
GCall/GCfix retrospective cross-pool codebook	GCfix_to_GCall	2	right_boundary_vs_left_adapter_max_rc_tract	140	372	3.857142857142857	3.9408602150537635	-0.10107989068583603	post hoc exploratory selected-sequence feature stratification
